Blog	four	looking	second	here	reported	k	music	until	example	want	feature	series	re	written	wasn	service	project	tech	saying	release	best	country	asked	much	life	things	had	possible	right	old	fox	continue	o	support	happy	offer	back	inside	time	leave	team	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	take	drive	ways	going	where	many	wants	photos	technology	being	around	world	power	industry	favorite	image	her	site	am	original	tv	th	large	small	past	hours	experience	social	via	company	science	states	its	always	found	really	major	number	guess	self	also	play	cover	set	see	movie	let	whole	community	recent	person	using	readers	couple	d	link	line	us	ago	land	age	came	having	results	young	send	try	video	great	makes	tools	next	process	high	doing	books	could	put	start	system	haven	face	fact	should	hope	means	stuff	email	ve	off	less	paul	web	five	become	does	problem	worth	told	work	interview	after	order	office	then	them	network	created	another	john	do	away	com	easy	voice	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	reality	update	together	p	change	market	live	car	write	use	remember	still	non	january	space	shows	care	friend	than	online	america	only	between	article	comes	learning	language	these	media	thinking	real	read	early	business	lot	building	since	month	very	family	ask	help	soon	actually	event	american	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	smart	ready	used	game	computer	doesn	e	youtube	go	facebook	products	camera	started	meet	links	software	including	front	times	final	need	able	based	course	she	state	key	police	well	reasons	martin	page	twitter	home	monday	he	piece	star	amp	companies	across	even	ever	never	luther	call	tell	give	answer	president	before	personal	better	went	side	content	isn	user	features	matter	seen	don	m	stop	bad	said	against	appeared	three	website	make	left	human	yet	save	deal	popular	down	digital	weekend	daily	finally	me	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	little	anyone	were	especially	shot	show	behind	get	morning	enough	reading	jr	according	mark	those	sound	different	pay	same	speech	money	images	users	videos	again	important	u	public	search	published	two	hour	share	needs	maps	coming	through	good	everyone	house	hard	idea	done	least	part	believe	b	built	build	most	please	mean	point	simple	create	meeting	understand	fun	itself	spent	spend	big	bit	google	often	forward	single	giving	others	private	something	ll	day	text	taking	almost	helped	center	thought	latest	add	happens	buy	brand	minutes	special	under	every	would	phone	must	keep	end	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	despite	report	full	news	several	everything	donald	no	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	white	any	ideas	sure	later	hear	review	come	case	myself	someone	events	week	without	blog	oh	racist	chinese	follow	program	woman	far	list	ten	design	version	rather	short	might	health	feel	story	store	king	kind	nothing	his	him	wrote	art	recently	attention	questions	customers	question	long	called	nice	once	find	apple	app	few	women	six	instead	light	looks	product	related	our	york	conversation	which	who	why	words	view	stories	job	last	gets	book	know	because	lead	getting	own	friends	apps	made	whether	other
All TPM News	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	3	0	2	1	1	2	0	2	0	2	2	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	3	0	0	3	0	0	0	0	0	1	1	2	0	3	0	1	2	0	0	0	3	1	0	2	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	0	3	7	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	3	0	0	0	3	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	1	9	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	3	0	0	1	0	0	0	1	0	0	20	0	1	1	0	1	3	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	3	2	2	1	0	6	0	0	0	7	17	0	0	0	0	1	3	0	0	6	1	0	2	0	13	1	0	0	0	1	0	2	0	0	2	0	3	1	0	0	13	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	1	20	2	0	0	1	2	0	0	5	1	0	1	0	0	0	0	0	3	5	0	2	0	0	2	0	4	0	0	0	0	1	1	5	0	1	1	3	0	0	2	0	0	1	0	0	6	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	1	0	10	0	2	0	0	0	2	0	0	38	0	1	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	14	0	0	9	1	0	0	1	0	0	0	1	1	4	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	5	7	0	0	0	0	0	5	0	0	3	2	0	0	0	0	0	2	1	4
Gothamist	0	1	1	4	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	5	1	0	2	2	3	5	0	2	12	0	0	0	1	0	1	2	2	5	0	0	2	0	0	0	3	0	2	4	0	1	9	0	0	1	2	1	0	0	0	1	2	2	5	0	3	1	1	1	1	0	0	4	0	0	0	0	2	0	0	0	2	0	0	0	1	0	2	3	2	0	1	2	0	0	0	6	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	4	1	0	0	1	0	0	0	1	0	1	3	1	0	1	0	0	1	0	1	0	2	3	0	0	0	1	0	0	0	0	1	2	0	2	0	2	0	0	0	0	0	1	0	9	0	0	1	2	0	1	0	0	5	0	0	0	0	2	1	0	7	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	2	0	3	0	0	1	0	0	0	7	0	2	2	1	0	0	0	0	1	1	0	0	0	3	0	0	0	2	6	2	0	0	0	0	1	0	2	0	2	2	2	3	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	0	3	1	3	0	1	3	0	1	0	1	2	2	0	0	1	2	3	0	2	1	0	0	0	3	2	1	11	0	0	0	0	0	0	4	1	0	1	0	0	0	3	1	0	0	1	13	0	0	0	0	1	2	1	0	0	0	1	3	0	2	0	3	1	0	0	0	0	0	8	0	0	2	0	1	0	0	1	0	4	0	1	13	0	0	1	0	0	1	1	7	0	2	2	0	7	3	1	0	0	3	1	1	0	0	1	0	0	2	0	0	0	4	0	2	1	0	1	4	1	1	1	0	3	1	2	0	2	1	0	0	2	2	0	0	0	0	5	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	2	2	1	1	0	0	1	2	0	0	1	0	0	5	1	3	2	1	0	0	1	0	2	1	0	0	3	0	2	1	0	1	0	0	1	0	3	11	0	0	0	1	1	3	1	1	0	2	0	0	1	0	0	0	0	3	0	0	0	3	0	3	0	4	2	0	1	1	0	0	0	0	0	0	2	3	0	1	0	11	2	0	2	0	1	1	0	0	1	2	1	1	0	4	1	1	0	0	0	1	0	0	0	4	3	1	4	12	0	1	0	3	2	11	1	0	0	5	0	0	2	1	0	2	1	2
Instapundit	0	0	0	4	0	0	0	0	0	2	0	1	2	0	0	0	5	5	1	0	0	2	4	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	5	0	2	0	0	1	2	7	2	1	0	0	6	0	0	0	0	4	1	2	0	1	2	2	3	0	0	0	0	3	6	3	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	2	0	1	0	0	0	2	5	2	0	0	1	0	4	0	0	6	0	0	3	5	0	2	0	2	0	0	0	0	3	2	0	2	0	0	2	3	0	8	0	0	2	0	0	1	1	0	0	0	0	5	1	0	0	0	0	3	1	2	0	2	3	0	4	0	0	1	0	0	3	2	0	6	0	0	0	0	0	0	0	0	8	0	0	2	0	0	2	0	2	0	1	0	3	2	0	2	2	2	5	0	2	6	2	0	0	7	0	3	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	3	0	0	0	1	0	0	0	2	0	0	0	2	2	4	0	0	1	0	0	1	2	0	1	1	0	0	0	2	0	3	0	0	0	0	2	0	0	6	0	0	0	2	4	0	4	1	4	0	0	0	2	0	0	0	0	6	1	0	4	0	0	0	3	8	3	0	3	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	4	3	0	0	0	0	2	0	3	3	0	0	2	0	4	0	0	1	0	2	0	1	0	2	4	0	2	0	0	6	0	1	0	2	1	1	0	0	0	0	0	2	0	0	0	0	2	1	1	0	0	0	1	0	1	2	0	0	0	8	0	0	0	2	0	0	0	2	1	0	0	1	0	1	2	0	2	0	0	0	0	0	0	2	1	0	0	1	0	0	3	0	3	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	2	1	0	5	8	0	0	1	0	1	0	0	2	0	10	0	0	0	1	0	0	2	2	0	2	2	0	2	0	8	12	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	3	0	0	1	0	0	0	3	1	2	0	0	0	0	0	0	2	0	2	0	6	0	0	7	0	0	0	0	0	0	0	4	0	0	3	4	0	0	0	2	1	0	0	0	1	0	0	2	0	0	3	4	10	0	0	0	0	4	0	0	3	2	0	0	0	0	0	1	0	3
BuzzMachine	0	2	0	3	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	3	0	2	0	0	0	1	0	0	1	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	1	0	0	0	1	1	3	0	3	0	0	1	0	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	3	0	2	1	3	0	0	0	0	0	1	0	1	3	4	15	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	4	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	3	2	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	1	2	0	0	0	9	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Techdirt.	5	8	11	17	4	0	0	2	11	9	2	1	29	9	6	11	3	15	6	3	3	5	0	28	2	10	28	6	17	3	3	5	2	22	4	4	13	0	22	4	2	1	6	17	18	15	9	33	4	5	10	9	6	3	1	10	11	0	3	14	13	24	8	2	2	25	2	3	8	15	0	0	2	31	0	2	0	11	6	7	4	7	2	10	7	23	0	18	50	4	4	10	3	16	1	0	34	1	1	1	13	0	4	3	13	6	4	8	4	0	11	0	4	13	7	2	3	4	12	3	2	5	4	9	7	7	8	4	3	5	6	2	23	8	9	6	0	2	25	32	2	6	3	35	9	9	6	3	5	2	1	24	16	4	8	6	1	27	8	9	26	26	6	5	19	2	26	6	13	3	3	3	1	1	3	11	47	4	21	3	24	13	3	1	1	0	3	4	2	0	2	19	4	15	7	6	3	2	1	0	36	19	1	31	4	9	3	0	6	44	12	0	4	5	1	12	6	5	10	1	11	0	3	16	2	34	0	4	10	7	0	2	7	0	12	5	10	1	5	21	2	0	13	3	1	23	3	5	17	10	8	1	1	3	2	3	15	2	6	4	9	9	5	7	6	37	4	3	19	3	0	3	22	7	1	94	4	1	1	27	3	50	6	8	0	3	3	10	0	14	8	12	12	7	10	24	5	10	1	3	1	15	8	6	12	21	38	0	2	10	38	2	2	4	0	4	3	19	0	2	4	3	5	12	5	6	24	1	1	1	0	6	2	1	9	7	10	9	44	4	0	7	3	19	5	11	1	0	8	4	34	1	3	4	11	38	7	2	17	6	15	10	9	44	8	6	7	2	2	1	0	4	6	12	5	19	3	3	2	17	20	10	5	2	1	15	2	5	10	3	4	0	2	1	5	3	4	8	2	10	5	2	2	6	7	6	6	3	8	2	5	7	3	2	4	7	3	2	3	3	1	1	18	12	58	12	3	8	3	1	10	3	7	4	2	13	11	6	1	4	6	0	1	7	8	9	12	4	3	4	35	5	0	5	5	9	5	7	28	30	1	14	6	11	3	37	4	6	5	3	2	4	21	1	6	0	13	33	1	1	1	6	5	9	0	5	14	1	0	1	12	5	12	2	2	27	4	0	0	17	48	13	2	0	4	5	1	3	3	8	6	1	5	10	23	1	11	1	3	7	0	5	0	5	23	7	3	48	55	18	5	1	2	4	20	5	3	8	26	4	6	19	2	3	23	10	34
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	3	1	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	1	3	0	8	2	0	0	0	0	0	0	0	0	1
Power LinePower Line	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ongoing by Tim Bray	0	0	0	4	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	3	1	2	1	0	0	1	0	1	1	0	0	3	0	1	0	4	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	2	0	2	1	0	3	3	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	2	1	3	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	5	6	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	5	1	2	0	1	1	1	5	0	0	0	0	1	4	0	0	1	0	0	1	0	3	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	5	0	0	0	0	0	3	0	0	1	0	0	2	3	2	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	2	2	0	2	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	7	0	1	0	0	0	0	2	0	0	0	0	1	3	1	2	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	3	0	0	0	1	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	2	0	1	2	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1
ABC News: Investigative Unit	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Viral Garden	5	10	3	25	0	1	6	0	4	34	0	9	4	5	8	5	4	0	4	1	7	0	1	6	2	6	40	1	7	2	0	1	6	2	1	2	20	0	26	4	5	2	1	8	0	6	14	0	0	1	2	0	1	3	2	6	7	1	6	10	18	25	3	0	0	21	7	4	5	5	2	1	5	12	25	1	1	9	3	5	2	4	1	135	8	13	1	0	11	6	10	10	0	5	2	4	10	2	4	0	22	0	8	1	11	4	6	30	10	6	5	20	3	16	5	0	7	1	2	5	0	0	4	0	13	4	7	9	1	1	13	0	8	4	4	0	3	0	5	16	2	5	3	3	20	5	5	2	1	0	10	5	6	1	3	17	0	8	1	0	23	50	4	7	9	1	40	3	22	2	2	1	0	2	3	0	23	15	43	7	27	1	1	2	5	0	3	1	3	0	9	20	3	14	0	1	6	2	1	4	10	8	2	16	2	2	2	2	0	25	123	4	3	10	3	12	14	4	3	1	23	0	3	10	3	11	28	0	3	5	0	6	11	12	6	2	8	0	2	8	2	1	1	1	0	2	0	0	14	14	2	0	14	5	9	0	1	2	1	0	8	2	0	3	2	1	5	0	12	3	0	7	61	0	0	17	0	0	3	30	0	19	3	10	0	1	11	6	3	0	11	6	10	7	1	15	6	4	0	2	3	15	18	2	3	13	0	0	3	3	20	10	1	1	1	1	6	2	1	2	0	2	57	13	0	4	12	1	4	1	14	4	5	0	17	32	3	3	36	1	0	5	1	21	0	5	8	0	2	2	12	1	3	3	16	0	3	0	10	0	3	4	0	0	3	1	8	4	8	6	0	11	4	17	10	0	0	18	3	5	7	0	2	0	5	23	3	8	6	2	10	0	13	2	7	0	2	12	8	0	9	2	1	4	9	0	9	17	17	0	4	2	2	3	11	2	9	2	2	1	1	1	1	10	31	0	3	3	5	5	5	10	6	12	10	2	4	6	10	4	5	0	0	0	0	3	1	9	0	0	19	2	5	4	9	0	2	4	0	4	4	10	2	3	0	8	6	11	5	4	0	8	8	5	14	12	5	2	48	1	0	0	16	0	0	1	12	2	0	1	1	1	5	0	2	2	1	0	0	2	8	3	7	0	6	7	5	19	0	8	5	2	3	9	1	0	26	0	0	5	0	1	2	0	7	2	4	19	16	21	1	5	3	1	12	1	0	22	38	2	6	24	12	0	8	1	19
SpikedHumor - Today's Videos and Pictures	0	0	6	102	0	0	2	1	0	1	1	0	2	1	0	0	2	0	1	0	6	0	0	0	2	1	5	0	0	2	0	0	4	1	1	0	2	0	4	0	1	1	0	1	0	2	0	0	1	1	0	2	2	0	0	1	1	0	0	0	0	2	0	2	0	1	4	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	7	0	2	1	2	0	0	0	3	3	0	4	4	1	2	1	0	0	1	4	0	1	1	0	0	2	2	1	0	0	1	1	0	0	0	15	1	1	0	0	0	0	0	0	1	3	0	1	0	4	1	1	1	1	0	0	2	3	0	1	0	0	0	2	3	0	0	2	0	3	1	0	2	3	1	0	3	0	2	1	6	0	4	0	0	0	1	2	0	0	3	0	2	0	0	0	1	3	1	0	2	4	0	0	0	2	1	0	3	0	0	0	1	0	4	0	2	1	0	0	3	1	0	0	4	0	1	0	0	0	1	0	0	2	0	0	0	1	0	3	0	0	1	0	0	2	0	0	1	0	5	3	0	0	0	1	3	1	0	5	2	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	3	0	1	0	0	0	0	1	0	0	0	7	0	0	0	0	1	5	3	1	0	1	1	0	0	0	2	1	0	2	2	0	0	0	0	0	0	3	1	0	0	3	0	0	0	3	2	2	2	0	0	3	0	3	0	0	0	0	5	2	0	3	1	4	2	2	0	1	2	0	0	2	1	0	0	0	2	5	0	4	1	0	0	0	1	0	2	2	0	0	0	0	1	0	0	4	1	0	3	1	1	0	0	1	1	0	0	1	0	2	2	2	0	0	1	0	7	0	0	1	0	2	2	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	1	3	2	2	2	2	3	0	0	1	1	0	5	0	2	2	0	0	0	102	0	0	1	2	2	1	1	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	2	0	3	0	1	1	0	0	9	1	0	0	0	0	1	0	0	2	1	0	2	0	5	3	1	1	0	0	0	1	0	0	1	0	0	0	3	4	1	1	1	0	4	2	0	4	3	0	0	0	0	1	0	0	2
